Nr uczestnika;Preferencje
1;Blues,85|Anime,15
2;Latin,34|Dance,42|Metal,20|R&B/Soul,4
3;Classical,47|Country,36|Rock,17
4;R&B/Soul,42|Comedy,37|Rock,20|Reggae,1
5;Instrumental,43|Alternative,41|Comedy,16
6;Rock,52|Pop,30|World,18
7;Dance,36|Rock,47|Alternative,17
8;Comedy,93|Folk,7
9;Comedy,54|Alternative,42|World,4
10;Jazz,52|Latin,32|Folk,16
11;Latin,23|Comedy,73|Pop,4
12;Country,45|Anime,51|Pop,4
13;Industrial,62|Folk,35|Instrumental,3
14;Dance,45|Comedy,46|Metal,9
15;Jazz,39|World,48|Classical,13
16;Comedy,100
17;Industrial,54|Metal,32|Pop,14
18;Alternative,73|Vocal,23|Anime,4
19;Alternative,73|Industrial,24|Instrumental,3
20;Instrumental,82|Anime,18
21;R&B/Soul,38|Vocal,60|Alternative,2
22;Alternative,44|Country,42|World,14
23;Industrial,66|Classical,32|Alternative,2
24;Jazz,52|Industrial,26|Folk,21|World,1
25;R&B/Soul,21|Industrial,46|Dance,30|Instrumental,3
26;Classical,96|Electronic,4
27;Dance,51|Electronic,47|Industrial,2
28;Blues,47|Comedy,22|Instrumental,26|Folk,5
29;Electronic,86|Country,14
30;Folk,79|Electronic,20|World,1
31;Comedy,67|Industrial,21|Classical,12
32;Jazz,96|Metal,4
33;Classical,46|R&B/Soul,49|Blues,5
34;World,60|Instrumental,25|Metal,15
35;Pop,90|Rock,10
36;Pop,95|Folk,5
37;Pop,98|Electronic,2
38;R&B/Soul,25|Vocal,29|Electronic,27|Rock,19
39;Latin,26|Pop,44|Reggae,22|Anime,8
40;Blues,94|Industrial,6
41;Rock,58|Reggae,37|Latin,5
42;R&B/Soul,86|Dance,14
43;Comedy,22|Country,36|Blues,23|Industrial,19
44;Vocal,56|Dance,21|Instrumental,21|Latin,2
45;Metal,73|Instrumental,21|Latin,6
46;Folk,25|Instrumental,20|Rock,24|Classical,27|Anime,4
47;Country,41|Jazz,35|World,20|Classical,4
48;R&B/Soul,66|Reggae,27|World,7
49;R&B/Soul,68|Alternative,31|Dance,1
50;Alternative,99|Instrumental,1
51;Country,23|R&B/Soul,28|Comedy,23|Vocal,25|Dance,1
52;World,65|Jazz,23|Reggae,12
53;Jazz,57|Alternative,39|Pop,4
54;Dance,34|Industrial,57|World,9
55;Folk,31|Vocal,38|Comedy,29|Anime,2
56;Classical,38|Jazz,49|Vocal,13
57;Industrial,89|Instrumental,11
58;Country,61|Reggae,39
59;Metal,52|Reggae,25|Classical,23
60;Vocal,48|Alternative,42|Jazz,10
61;Rock,53|Metal,27|Jazz,20
62;Reggae,40|Vocal,27|Instrumental,25|Metal,8
63;Blues,92|Reggae,8
64;Latin,22|Comedy,42|Alternative,24|Industrial,12
65;Instrumental,27|Alternative,49|Metal,23|Blues,1
66;R&B/Soul,25|Blues,67|Instrumental,8
67;Instrumental,91|Country,9
68;Instrumental,35|Jazz,47|Vocal,18
69;Instrumental,30|Blues,55|Metal,15
70;Folk,50|Pop,44|Classical,6
71;Vocal,78|Latin,21|Anime,1
72;Rock,98|Blues,2
73;Anime,24|Latin,42|Jazz,21|Vocal,13
74;Comedy,52|Anime,46|Instrumental,2
75;Vocal,33|Rock,46|Alternative,20|Instrumental,1
76;Country,23|R&B/Soul,76|Classical,1
77;World,51|Vocal,43|Classical,6
78;R&B/Soul,49|Folk,40|Rock,11
79;World,23|Blues,42|Electronic,30|Instrumental,5
80;Classical,96|Latin,4
81;Dance,20|Rock,40|World,22|Country,18
82;Pop,24|Country,71|Vocal,5
83;R&B/Soul,24|Comedy,68|Folk,8
84;Dance,69|Alternative,20|Vocal,11
85;Folk,63|Country,36|Jazz,1
86;Blues,90|Comedy,10
87;Reggae,43|Comedy,21|Pop,36
88;Alternative,74|Metal,22|Pop,4
89;Reggae,75|Anime,22|Alternative,3
90;Blues,32|Industrial,26|Electronic,24|R&B/Soul,18
