Nr utworu;Rodzaj utworu;Czas utworu
1;R&B/Soul;159
2;Rock;453
3;Industrial;355
4;R&B/Soul;562
5;World;94
6;Pop;197
7;R&B/Soul;153
8;Folk;250
9;Electronic;81
10;Pop;177
11;Jazz;136
12;Electronic;134
13;Classical;320
14;Vocal;505
15;Electronic;87
16;Comedy;154
17;Metal;485
18;Dance;374
19;Alternative;233
20;Dance;114
21;Jazz;277
22;Classical;402
23;Folk;228
24;Reggae;164
25;Industrial;318
26;Rock;551
27;Classical;414
28;Metal;511
29;Industrial;83
30;World;153
31;Alternative;84
32;R&B/Soul;130
33;Electronic;80
34;Comedy;538
35;Alternative;251
36;Alternative;215
37;Metal;560
38;Folk;360
39;Instrumental;177
40;Comedy;482
41;Country;458
42;Industrial;531
43;R&B/Soul;131
44;Dance;218
45;R&B/Soul;403
46;Alternative;480
47;Vocal;449
48;Anime;571
49;Pop;297
50;Rock;350
51;Electronic;129
52;Dance;143
53;Dance;357
54;Pop;145
55;Blues;101
56;Dance;320
57;R&B/Soul;546
58;Industrial;451
59;Electronic;408
60;Anime;590
61;Classical;101
62;Latin;214
63;Vocal;245
64;Instrumental;107
65;Dance;261
66;Vocal;64
67;Reggae;99
68;Industrial;576
69;Classical;438
70;Vocal;552
71;Comedy;466
72;Vocal;581
73;Metal;555
74;Pop;104
75;Latin;347
76;Dance;478
77;Dance;386
78;Folk;568
79;Country;112
80;Dance;105
81;Latin;216
82;Vocal;381
83;Country;231
84;R&B/Soul;598
85;Jazz;393
86;Dance;158
87;Alternative;517
88;Dance;158
89;Industrial;209
90;Alternative;539
91;Folk;568
92;Reggae;223
93;Rock;400
94;Folk;511
95;Vocal;488
96;World;101
97;Anime;155
98;Country;291
99;Comedy;412
100;Alternative;166
101;Folk;63
102;Pop;309
103;Industrial;471
104;Vocal;405
105;Folk;408
106;Classical;218
107;Vocal;387
108;Folk;121
109;Blues;525
110;Instrumental;198
111;Classical;348
112;Dance;514
113;Anime;251
114;Latin;107
115;Dance;375
116;Pop;114
117;Country;354
118;Blues;493
119;Classical;334
120;Metal;226
121;Comedy;160
122;Comedy;480
123;Jazz;101
124;Latin;127
125;Metal;547
126;Dance;551
127;Reggae;524
128;R&B/Soul;188
129;Electronic;108
130;Alternative;298
131;Classical;312
132;Jazz;231
133;Comedy;78
134;Comedy;551
135;Pop;126
136;R&B/Soul;456
137;Folk;64
138;Comedy;199
139;Folk;175
140;World;273
141;Dance;208
142;Metal;174
143;Alternative;521
144;Classical;553
145;Alternative;531
146;Anime;230
147;Metal;92
148;Pop;350
149;Metal;422
150;Anime;510
151;Vocal;268
152;World;299
153;Rock;454
154;R&B/Soul;195
155;Rock;482
156;R&B/Soul;110
157;Comedy;69
158;Vocal;411
159;Anime;549
160;Comedy;91
161;Blues;513
162;Industrial;201
163;Jazz;535
164;Dance;334
165;Classical;276
166;R&B/Soul;506
167;Vocal;172
168;Country;229
169;Anime;593
170;World;548
171;R&B/Soul;97
172;Folk;61
173;Latin;437
174;Anime;172
175;Blues;236
176;Vocal;468
177;Folk;359
178;Industrial;254
179;Country;515
180;Rock;466
181;Instrumental;558
182;Folk;243
183;Electronic;88
184;Electronic;340
185;Vocal;438
186;Comedy;215
187;Dance;161
188;Vocal;398
189;Blues;586
190;Pop;353
191;Blues;124
192;Metal;228
193;Industrial;263
194;Anime;335
195;Metal;457
196;Rock;396
197;Blues;221
198;Latin;86
199;Reggae;538
200;Dance;427
201;Folk;138
202;Metal;351
203;Blues;377
204;Folk;144
205;Dance;170
206;Industrial;423
207;Comedy;416
208;Electronic;212
209;Reggae;345
210;Anime;288
211;World;570
212;Alternative;86
213;Alternative;87
214;Electronic;532
215;Instrumental;433
216;Jazz;470
217;Classical;153
218;Dance;261
219;Dance;587
220;Pop;561
221;Latin;374
222;Folk;84
223;Rock;206
224;Folk;374
225;Latin;259
226;Instrumental;579
227;Comedy;128
228;Dance;113
229;Vocal;475
230;Classical;560
231;Metal;68
232;Anime;370
233;Classical;532
234;Electronic;397
235;Reggae;410
236;Instrumental;468
237;Classical;482
238;Blues;529
239;Anime;89
240;Comedy;107
241;Country;180
242;Dance;402
243;Industrial;295
244;Latin;377
245;Electronic;485
246;Classical;69
247;Country;290
248;Industrial;187
249;Anime;189
250;Alternative;265
251;Vocal;438
252;Classical;207
253;Jazz;294
254;Latin;491
255;World;157
256;Classical;478
257;Country;241
258;Anime;292
259;Rock;65
260;World;113
261;World;203
262;Folk;465
263;Electronic;82
264;Pop;415
265;World;82
266;World;383
267;Classical;262
268;R&B/Soul;107
269;Classical;295
270;Electronic;559
271;Metal;551
272;Pop;372
273;Classical;161
274;Rock;260
275;Country;486
276;World;66
277;Country;105
278;Latin;365
279;Electronic;368
280;R&B/Soul;90
281;Dance;193
282;Metal;299
283;Metal;499
284;Classical;475
285;Comedy;356
286;Rock;499
287;R&B/Soul;431
288;Dance;484
289;Electronic;518
290;Folk;316
291;Rock;336
292;Country;85
293;Blues;78
294;Metal;428
295;Electronic;386
296;Classical;158
297;Electronic;389
298;Dance;477
299;Folk;263
300;World;567
301;Anime;116
302;R&B/Soul;487
303;Folk;61
304;Metal;394
305;Blues;202
306;Dance;598
307;Dance;536
308;Pop;317
309;Dance;493
310;Rock;595
311;Metal;176
312;Metal;390
313;Rock;312
314;Vocal;542
315;Latin;260
316;Alternative;295
317;Dance;67
318;Reggae;517
319;Vocal;112
320;Electronic;562
321;Electronic;465
322;Anime;125
323;Blues;111
324;Industrial;501
325;Rock;511
326;Dance;219
327;Folk;116
328;Pop;244
329;Reggae;214
330;Electronic;290
331;Dance;514
332;Reggae;452
333;World;492
334;Comedy;152
335;Anime;247
336;Country;561
337;Metal;588
338;R&B/Soul;135
339;Blues;208
340;Industrial;412
341;Anime;437
342;Pop;101
343;World;264
344;Comedy;363
345;Folk;286
