Nr utworu;Rodzaj utworu;Czas utworu
1;disco;50
2;jazz;140
3;jazz;30
4;disco;10
5;disco;250
6;pop;250
7;pop;10
8;jazz;220
9;pop;110
10;pop;290
11;pop;290
12;blues;240
13;jazz;40
14;disco;50
15;rock;220
16;disco;50
17;disco;170
18;pop;70
19;blues;100
20;pop;180
21;disco;200
22;pop;110
23;disco;30
24;rock;280
25;pop;250
26;pop;230
27;rock;180
28;jazz;140
29;jazz;280
30;jazz;300
31;rock;20
32;rock;290
33;blues;160
34;blues;90
35;jazz;120
36;disco;270
37;jazz;10
38;jazz;230
39;disco;120
40;disco;220
41;blues;190
42;pop;300
43;pop;210
44;blues;200
45;rock;10
46;jazz;40
47;pop;40
48;jazz;80
49;disco;220
50;rock;200
51;jazz;140
52;jazz;200
53;rock;10
54;blues;70
55;rock;200
56;pop;130
57;disco;230
58;pop;160
59;jazz;90
60;blues;290
61;pop;30
62;blues;90
63;disco;230
64;pop;270
65;blues;60
66;disco;220
67;jazz;240
68;pop;140
69;jazz;220
70;blues;80
71;blues;200
72;rock;170
73;blues;160
74;blues;200
75;jazz;80
76;blues;230
77;jazz;300
78;rock;70
79;blues;30
80;blues;20
81;pop;50
82;rock;240
83;disco;90
84;rock;300
85;blues;30
86;rock;250
87;jazz;180
88;blues;200
89;disco;130
90;blues;160
91;pop;80
92;blues;200
93;pop;40
94;pop;20
95;disco;120
96;pop;230
97;jazz;10
98;rock;190
99;jazz;90
